age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,poutcome,cons_price_idx,y
59,retired,married,basic.4y,unknown,yes,yes,telephone,may,wed,571,1,nonexistent,93.994,0
37,blue-collar,married,basic.6y,no,no,no,telephone,oct,fri,131,1,nonexistent,92.431,0
,retired,divorced,high.school,no,yes,yes,telephone,dec,mon,88,6,nonexistent,92.713,0
44,technician,divorced,basic.9y,unknown,yes,yes,telephone,may,tue,388,2,nonexistent,93.994,0
29,technician,single,professional.course,no,no,no,cellular,aug,mon,157,3,nonexistent,93.444,0
32,services,married,basic.4y,no,yes,yes,cellular,nov,mon,111,1,nonexistent,93.2,0
45,services,divorced,basic.9y,no,yes,no,cellular,apr,mon,325,1,nonexistent,93.075,0
49,blue-collar,married,unknown,unknown,no,no,telephone,jun,wed,112,4,nonexistent,94.465,0
25,services,single,unknown,no,no,no,telephone,jul,fri,662,4,nonexistent,93.918,0
34,blue-collar,divorced,basic.4y,unknown,yes,no,cellular,jul,mon,,2,nonexistent,93.918,0
37,technician,single,professional.course,no,yes,no,cellular,aug,thu,115,1,nonexistent,93.444,0
48,technician,single,university.degree,unknown,yes,no,cellular,aug,tue,159,2,nonexistent,93.444,0
52,services,married,high.school,no,yes,no,telephone,aug,mon,575,2,nonexistent,93.444,0
30,technician,single,professional.course,no,no,no,cellular,aug,tue,216,3,nonexistent,93.444,0
57,retired,married,basic.9y,no,yes,no,cellular,aug,mon,342,4,nonexistent,93.444,0
38,blue-collar,married,basic.4y,no,yes,no,cellular,nov,mon,117,2,nonexistent,93.2,0
31,blue-collar,single,high.school,no,no,no,cellular,nov,wed,145,1,nonexistent,93.2,0
40,technician,married,basic.9y,unknown,yes,no,telephone,jun,tue,168,2,nonexistent,94.465,0
38,services,married,high.school,no,yes,yes,telephone,may,mon,506,1,nonexistent,,0
33,management,single,university.degree,no,no,no,telephone,may,fri,261,1,nonexistent,93.994,0
28,admin.,single,university.degree,no,yes,no,cellular,sep,mon,387,2,success,94.199,0
33,technician,married,professional.course,no,yes,no,cellular,aug,mon,417,2,nonexistent,93.444,0
58,retired,married,basic.4y,no,no,no,cellular,jul,tue,81,1,nonexistent,93.918,0
30,self-employed,married,professional.course,no,yes,no,cellular,may,tue,98,5,nonexistent,92.893,0
42,self-employed,married,professional.course,unknown,no,no,cellular,may,fri,160,1,failure,92.893,0
35,technician,divorced,basic.4y,no,no,no,cellular,nov,tue,363,1,nonexistent,94.767,1
41,housemaid,married,high.school,no,yes,no,cellular,jul,fri,440,4,nonexistent,93.918,0
31,self-employed,single,university.degree,no,no,no,cellular,nov,fri,906,1,failure,93.2,0
,admin.,married,high.school,no,no,no,telephone,may,tue,167,,nonexistent,93.994,0
80,retired,married,basic.4y,no,no,no,cellular,oct,tue,242,1,failure,92.431,1
47,blue-collar,married,high.school,no,no,no,cellular,apr,thu,439,2,nonexistent,93.075,1
39,housemaid,married,,no,yes,no,cellular,jul,fri,76,4,nonexistent,93.918,0
30,technician,married,university.degree,no,no,no,cellular,aug,fri,,2,nonexistent,93.444,0
33,blue-collar,married,high.school,no,yes,no,telephone,may,wed,233,1,nonexistent,93.994,0
50,management,married,university.degree,unknown,no,no,telephone,may,fri,136,1,nonexistent,93.994,0
33,blue-collar,married,basic.9y,no,yes,no,cellular,may,fri,656,1,nonexistent,92.893,1
40,technician,married,professional.course,no,yes,yes,cellular,jul,wed,323,1,nonexistent,93.918,0
40,retired,married,basic.4y,unknown,yes,no,cellular,jul,fri,1689,2,nonexistent,93.918,1
30,blue-collar,married,basic.9y,no,yes,no,telephone,jun,fri,185,1,nonexistent,94.465,0
23,management,single,university.degree,no,yes,no,cellular,jul,thu,134,1,nonexistent,93.918,0
28,blue-collar,married,basic.9y,unknown,no,no,cellular,may,fri,182,2,failure,92.893,0
41,self-employed,married,basic.9y,no,yes,no,cellular,may,thu,1135,3,failure,92.893,1
26,student,single,basic.9y,no,no,no,telephone,aug,wed,449,1,nonexistent,92.201,1
45,admin.,married,university.degree,no,no,no,cellular,aug,mon,216,1,nonexistent,93.444,0
28,admin.,single,university.degree,no,yes,no,cellular,oct,mon,324,1,success,94.601,0
32,technician,married,university.degree,no,no,no,cellular,aug,fri,198,1,nonexistent,93.444,0
32,management,single,university.degree,no,no,no,cellular,aug,fri,157,1,nonexistent,93.444,0
56,entrepreneur,divorced,university.degree,no,no,yes,telephone,jun,mon,311,1,nonexistent,94.465,0
45,admin.,divorced,basic.9y,no,yes,no,cellular,nov,wed,575,9,nonexistent,93.2,0
29,technician,divorced,professional.course,no,yes,no,telephone,jun,wed,11,19,nonexistent,94.465,0
33,technician,married,university.degree,no,yes,no,cellular,may,mon,182,1,nonexistent,92.893,0
,blue-collar,married,basic.4y,no,yes,no,telephone,jun,fri,94,7,nonexistent,94.465,0
51,technician,married,professional.course,no,no,no,cellular,nov,wed,272,1,nonexistent,92.649,0
32,blue-collar,married,basic.6y,no,unknown,unknown,telephone,jun,tue,31,5,nonexistent,94.465,0
36,blue-collar,married,basic.4y,no,no,no,cellular,may,tue,245,1,failure,92.893,0
36,blue-collar,married,unknown,no,no,no,telephone,jun,thu,179,1,nonexistent,94.465,0
32,technician,married,professional.course,no,no,no,telephone,jun,thu,805,2,nonexistent,94.465,0
51,technician,married,professional.course,no,no,yes,telephone,jun,mon,147,1,nonexistent,94.465,0
25,blue-collar,married,basic.9y,unknown,no,no,telephone,jun,tue,71,1,nonexistent,94.465,0
39,entrepreneur,married,university.degree,no,yes,no,cellular,sep,tue,120,3,nonexistent,,0
33,blue-collar,married,basic.9y,no,yes,no,cellular,may,thu,263,1,nonexistent,92.893,0
32,technician,single,professional.course,no,yes,no,cellular,jul,thu,81,2,nonexistent,93.918,0
35,blue-collar,married,basic.9y,no,yes,no,telephone,may,wed,180,1,nonexistent,93.994,0
41,technician,divorced,professional.course,no,unknown,unknown,telephone,oct,mon,73,1,nonexistent,93.798,0
44,admin.,married,university.degree,unknown,no,no,telephone,may,wed,202,1,nonexistent,93.994,0
34,management,married,university.degree,no,no,no,cellular,apr,mon,163,1,nonexistent,93.075,1
27,services,single,high.school,no,yes,no,telephone,may,wed,386,1,nonexistent,93.994,0
51,blue-collar,married,basic.4y,unknown,yes,no,telephone,jul,wed,,1,nonexistent,93.918,0
42,admin.,married,university.degree,unknown,no,no,telephone,may,tue,42,4,nonexistent,93.994,0
61,blue-collar,married,high.school,no,no,no,cellular,oct,wed,108,1,nonexistent,92.431,0
48,unemployed,married,professional.course,no,yes,no,cellular,sep,mon,315,2,nonexistent,94.199,1
54,entrepreneur,married,university.degree,no,yes,no,cellular,nov,wed,159,2,success,93.2,0
35,admin.,single,high.school,no,yes,yes,telephone,may,mon,19,1,nonexistent,93.994,0
48,blue-collar,married,basic.9y,no,no,no,cellular,aug,mon,348,2,nonexistent,93.444,0
23,technician,single,professional.course,no,yes,no,telephone,jul,thu,194,2,nonexistent,93.918,0
33,blue-collar,married,basic.6y,no,no,no,telephone,may,wed,1183,1,nonexistent,93.994,1
30,admin.,married,university.degree,no,no,no,cellular,aug,mon,160,1,nonexistent,93.444,0
,blue-collar,single,high.school,unknown,no,yes,cellular,may,thu,338,3,nonexistent,92.893,0
44,technician,single,professional.course,unknown,no,no,telephone,may,mon,374,6,nonexistent,93.994,0
29,technician,single,university.degree,no,no,yes,telephone,jul,wed,357,7,nonexistent,93.918,0
55,retired,married,high.school,no,yes,no,cellular,aug,tue,106,4,nonexistent,93.444,0
24,blue-collar,single,basic.9y,unknown,no,no,telephone,jul,fri,270,1,,93.918,0
61,admin.,married,university.degree,no,yes,no,cellular,,wed,183,5,nonexistent,93.075,0
50,technician,married,basic.6y,unknown,no,no,cellular,may,tue,36,,failure,92.893,0
37,self-employed,single,,no,yes,no,cellular,apr,thu,270,2,failure,93.075,0
33,housemaid,married,professional.course,no,yes,no,cellular,aug,thu,110,1,nonexistent,93.444,0
48,unemployed,married,university.degree,no,yes,no,cellular,mar,mon,195,2,nonexistent,93.369,0
57,retired,married,basic.9y,unknown,yes,no,cellular,aug,fri,27,6,nonexistent,93.444,0
33,management,divorced,university.degree,no,yes,no,cellular,jun,wed,63,1,nonexistent,92.963,0
40,housemaid,divorced,high.school,no,no,no,telephone,jun,wed,1449,6,nonexistent,94.465,1
30,self-employed,single,university.degree,no,no,no,cellular,aug,tue,58,1,nonexistent,93.444,0
34,self-employed,married,university.degree,no,no,no,cellular,oct,wed,201,1,failure,92.431,1
54,management,divorced,university.degree,no,yes,no,telephone,may,mon,106,3,nonexistent,93.994,0
31,admin.,married,university.degree,no,no,no,cellular,apr,fri,170,1,nonexistent,93.075,0
31,technician,single,professional.course,no,yes,no,cellular,aug,tue,935,1,nonexistent,93.444,1
53,unemployed,married,basic.9y,unknown,yes,no,cellular,may,tue,67,4,nonexistent,92.893,0
43,admin.,single,university.degree,no,yes,no,cellular,apr,mon,670,4,success,93.075,1
36,blue-collar,married,basic.9y,no,yes,no,cellular,may,tue,620,1,nonexistent,92.893,0
47,admin.,divorced,university.degree,no,yes,no,cellular,aug,thu,507,4,nonexistent,93.444,0
30,technician,married,university.degree,no,yes,yes,cellular,jul,mon,204,4,nonexistent,94.215,1
31,self-employed,married,university.degree,no,yes,yes,cellular,nov,mon,60,1,failure,93.2,0
37,services,single,basic.9y,no,no,no,cellular,may,tue,348,1,nonexistent,92.893,0
27,blue-collar,single,basic.6y,no,no,no,cellular,jul,tue,1508,1,nonexistent,,1
46,admin.,married,high.school,no,no,no,telephone,jun,fri,354,2,nonexistent,94.465,0
41,technician,married,basic.9y,no,yes,no,cellular,may,wed,,1,failure,92.893,0
44,blue-collar,married,basic.9y,no,no,no,telephone,jun,fri,109,4,nonexistent,94.465,0
,admin.,married,university.degree,no,yes,no,cellular,may,thu,171,2,nonexistent,92.893,0
58,blue-collar,divorced,basic.4y,no,no,no,cellular,aug,fri,186,1,nonexistent,92.201,1
34,self-employed,married,university.degree,no,yes,no,cellular,nov,wed,213,5,nonexistent,93.2,0
60,admin.,single,high.school,no,no,yes,telephone,may,tue,474,2,nonexistent,93.994,0
29,blue-collar,married,basic.4y,no,no,yes,cellular,nov,wed,441,1,nonexistent,93.2,0
26,admin.,single,high.school,no,no,no,telephone,jun,thu,463,1,nonexistent,94.465,0
31,services,single,high.school,no,yes,no,telephone,may,wed,17,2,nonexistent,93.994,0
36,services,married,university.degree,no,yes,no,cellular,nov,wed,86,3,nonexistent,93.2,0
59,blue-collar,married,basic.4y,unknown,no,no,cellular,jul,fri,202,2,nonexistent,93.918,0
61,retired,married,university.degree,no,yes,no,cellular,apr,tue,216,1,nonexistent,93.075,1
30,technician,married,high.school,no,no,no,cellular,aug,tue,142,1,nonexistent,93.444,0
40,retired,married,professional.course,no,no,no,telephone,may,tue,140,1,nonexistent,93.994,0
48,technician,married,high.school,no,no,no,telephone,may,fri,700,1,nonexistent,93.994,0
47,services,single,high.school,no,no,no,cellular,jul,tue,293,1,nonexistent,93.918,0
32,technician,married,university.degree,no,yes,no,cellular,aug,thu,402,1,nonexistent,93.444,0
31,admin.,married,professional.course,unknown,yes,no,cellular,aug,fri,126,1,nonexistent,93.444,0
33,blue-collar,married,basic.9y,no,yes,no,cellular,may,tue,112,4,nonexistent,92.893,0
30,services,single,high.school,no,no,no,cellular,may,tue,263,2,nonexistent,92.893,0
49,management,married,university.degree,no,yes,no,cellular,apr,thu,44,1,nonexistent,93.075,0
53,self-employed,married,university.degree,no,yes,no,cellular,nov,fri,61,4,nonexistent,93.2,0
33,admin.,married,high.school,no,yes,no,cellular,may,fri,176,1,nonexistent,92.893,0
46,services,married,high.school,unknown,yes,no,cellular,may,fri,6,1,failure,92.893,0
45,admin.,married,high.school,no,yes,no,telephone,may,thu,695,1,nonexistent,93.994,1
31,technician,single,professional.course,unknown,yes,no,telephone,may,mon,188,7,nonexistent,93.994,0
28,blue-collar,single,basic.9y,unknown,no,no,cellular,may,wed,77,3,nonexistent,92.893,0
29,admin.,single,university.degree,no,yes,yes,cellular,nov,thu,736,1,nonexistent,93.2,1
26,blue-collar,single,basic.9y,no,yes,no,cellular,jul,tue,56,3,nonexistent,93.918,0
20,student,single,,no,yes,no,cellular,apr,wed,184,4,nonexistent,93.075,1
42,services,married,high.school,no,yes,yes,cellular,may,wed,77,2,failure,92.893,0
31,blue-collar,married,basic.9y,no,yes,no,cellular,nov,thu,415,1,nonexistent,93.2,0
56,entrepreneur,married,university.degree,unknown,no,yes,cellular,jul,tue,41,1,nonexistent,93.918,0
43,housemaid,divorced,professional.course,no,no,yes,cellular,aug,thu,306,5,nonexistent,93.444,0
44,management,married,high.school,unknown,no,yes,cellular,jul,mon,,1,nonexistent,93.918,0
30,admin.,married,high.school,no,yes,no,cellular,jul,fri,362,2,nonexistent,93.918,0
31,admin.,single,university.degree,no,no,no,cellular,sep,fri,123,3,nonexistent,,0
53,entrepreneur,divorced,university.degree,no,yes,no,cellular,nov,mon,107,1,failure,93.2,0
,retired,married,basic.4y,unknown,yes,no,telephone,may,thu,855,4,nonexistent,93.994,0
37,unemployed,married,university.degree,no,unknown,unknown,cellular,may,fri,34,,nonexistent,92.893,0
43,blue-collar,married,unknown,unknown,no,no,telephone,may,fri,512,6,nonexistent,93.994,0
45,admin.,married,basic.9y,unknown,no,no,telephone,,fri,973,2,nonexistent,94.465,1
29,admin.,divorced,university.degree,no,yes,no,cellular,jun,wed,238,3,nonexistent,92.963,1
53,services,married,high.school,no,no,no,telephone,may,wed,429,1,nonexistent,93.994,0
34,technician,married,university.degree,no,no,no,cellular,apr,thu,82,6,nonexistent,93.075,0
72,retired,married,high.school,no,no,no,cellular,nov,mon,257,1,nonexistent,92.649,1
25,admin.,single,university.degree,no,yes,no,cellular,apr,thu,229,2,nonexistent,93.075,1
46,admin.,married,high.school,no,no,no,telephone,jun,fri,47,4,nonexistent,94.465,0
39,admin.,single,high.school,no,no,no,cellular,jul,thu,9,6,nonexistent,93.918,0
57,management,married,university.degree,no,yes,yes,cellular,nov,fri,283,1,failure,93.2,0
24,admin.,single,professional.course,no,yes,yes,telephone,jun,mon,233,1,nonexistent,94.465,0
40,blue-collar,married,basic.6y,no,yes,no,telephone,jun,tue,5,1,nonexistent,94.055,0
45,services,married,high.school,unknown,yes,no,telephone,may,wed,349,2,nonexistent,93.994,0
33,entrepreneur,married,university.degree,no,yes,no,telephone,may,mon,130,3,nonexistent,93.994,0
34,blue-collar,married,basic.9y,no,no,no,telephone,jun,mon,157,29,nonexistent,94.465,0
24,admin.,single,high.school,no,no,no,cellular,jul,mon,452,1,success,94.215,1
55,entrepreneur,divorced,basic.9y,no,no,no,cellular,dec,fri,415,7,nonexistent,92.713,1
54,blue-collar,married,basic.6y,unknown,yes,no,telephone,jul,tue,34,1,nonexistent,93.918,0
32,technician,single,university.degree,no,no,no,cellular,aug,fri,182,1,nonexistent,93.444,0
27,student,single,high.school,no,no,no,cellular,mar,fri,219,1,nonexistent,93.369,1
45,management,married,university.degree,no,yes,yes,cellular,may,thu,265,3,nonexistent,92.893,0
47,services,divorced,basic.9y,unknown,no,no,cellular,jul,mon,678,1,nonexistent,93.918,0
29,services,married,high.school,no,no,no,telephone,may,tue,189,2,nonexistent,93.994,0
42,admin.,single,university.degree,unknown,yes,yes,cellular,jul,fri,115,1,nonexistent,93.918,0
28,student,single,high.school,no,no,no,cellular,apr,thu,319,3,nonexistent,93.075,0
27,self-employed,single,university.degree,no,no,no,cellular,may,thu,367,2,nonexistent,92.893,0
,admin.,divorced,university.degree,no,yes,no,cellular,may,mon,197,2,nonexistent,92.893,0
45,entrepreneur,married,basic.4y,no,yes,no,cellular,nov,tue,,5,nonexistent,93.2,0
33,management,single,university.degree,no,no,no,telephone,may,tue,125,2,nonexistent,93.994,0
36,technician,married,professional.course,no,no,no,cellular,jul,tue,71,2,nonexistent,93.918,0
34,technician,single,high.school,no,yes,no,telephone,jul,fri,106,2,nonexistent,93.918,0
30,technician,single,university.degree,no,no,no,cellular,aug,fri,360,1,nonexistent,93.444,0
33,blue-collar,married,,no,yes,no,cellular,jul,wed,273,2,nonexistent,93.918,0
56,blue-collar,married,basic.4y,unknown,no,no,telephone,jun,wed,36,4,nonexistent,,0
58,blue-collar,married,basic.4y,unknown,no,no,telephone,jun,fri,326,1,nonexistent,94.465,0
52,admin.,married,high.school,no,no,no,cellular,nov,fri,157,2,nonexistent,93.2,0
52,housemaid,married,basic.4y,no,no,no,cellular,jul,fri,479,2,nonexistent,93.918,0
36,admin.,divorced,university.degree,unknown,yes,yes,cellular,jul,wed,103,1,nonexistent,93.918,0
36,admin.,single,university.degree,no,yes,yes,cellular,nov,wed,118,1,nonexistent,93.2,0
53,blue-collar,married,basic.4y,unknown,yes,no,cellular,aug,mon,144,1,,93.444,0
52,housemaid,married,basic.4y,unknown,yes,no,cellular,aug,mon,197,2,nonexistent,93.444,0
47,technician,married,professional.course,no,yes,no,telephone,may,thu,69,1,nonexistent,93.994,0
37,self-employed,divorced,university.degree,no,yes,no,telephone,may,mon,596,1,nonexistent,93.994,0
25,blue-collar,single,basic.9y,unknown,yes,no,telephone,may,thu,113,1,nonexistent,93.994,0
32,blue-collar,married,basic.6y,no,no,no,cellular,jul,tue,59,1,nonexistent,93.918,0
34,admin.,single,university.degree,no,no,no,cellular,may,fri,101,4,failure,92.893,0
39,admin.,married,high.school,no,yes,no,telephone,jun,thu,337,2,nonexistent,94.465,0
52,technician,married,professional.course,no,yes,yes,telephone,nov,tue,285,2,failure,93.2,0
48,admin.,single,university.degree,no,yes,no,telephone,jun,thu,1082,1,nonexistent,94.465,0
48,entrepreneur,married,basic.9y,no,yes,no,cellular,jul,wed,44,7,nonexistent,93.918,0
50,blue-collar,single,basic.9y,unknown,no,no,telephone,may,fri,165,1,nonexistent,93.994,0
55,management,single,basic.4y,no,yes,no,telephone,jun,wed,89,4,nonexistent,94.465,0
38,blue-collar,married,basic.9y,no,yes,no,cellular,nov,tue,154,1,nonexistent,93.2,0
46,admin.,married,high.school,no,yes,no,cellular,aug,thu,91,11,nonexistent,93.444,0
31,services,single,high.school,no,yes,no,cellular,may,mon,206,1,nonexistent,92.893,0
27,technician,married,professional.course,no,no,no,cellular,jul,thu,102,9,nonexistent,93.918,0
50,blue-collar,married,basic.4y,no,no,no,cellular,may,tue,166,2,failure,92.893,0
52,services,divorced,unknown,unknown,yes,yes,telephone,may,fri,306,1,nonexistent,93.994,0
44,admin.,married,university.degree,unknown,yes,yes,telephone,may,mon,,7,nonexistent,93.994,0
35,technician,single,professional.course,no,yes,no,cellular,jul,tue,577,6,success,94.215,1
47,management,divorced,basic.6y,unknown,yes,yes,telephone,may,fri,353,1,nonexistent,93.994,0
32,admin.,single,university.degree,no,no,no,cellular,jul,thu,152,6,nonexistent,93.918,0
34,services,married,basic.9y,no,yes,yes,telephone,may,mon,437,2,failure,92.893,0
40,admin.,single,high.school,no,no,yes,cellular,may,wed,172,1,nonexistent,92.893,0
56,services,married,basic.4y,unknown,yes,yes,telephone,may,fri,166,1,nonexistent,93.994,0
48,admin.,married,university.degree,no,yes,no,cellular,aug,thu,321,3,nonexistent,93.444,0
,admin.,married,basic.9y,unknown,yes,no,cellular,jul,mon,163,2,nonexistent,93.918,0
48,admin.,divorced,high.school,no,yes,no,cellular,nov,mon,309,1,nonexistent,93.2,0
39,entrepreneur,married,high.school,no,yes,no,cellular,jul,thu,244,1,nonexistent,93.918,0
46,blue-collar,married,basic.9y,no,yes,no,cellular,nov,mon,132,1,nonexistent,93.2,0
41,technician,married,basic.9y,no,yes,no,telephone,may,tue,420,1,nonexistent,93.994,0
56,management,divorced,university.degree,no,no,no,telephone,jun,mon,252,4,nonexistent,94.465,0
25,admin.,married,university.degree,no,no,no,cellular,mar,fri,243,3,nonexistent,92.843,1
24,blue-collar,single,high.school,no,no,no,cellular,jul,fri,482,2,nonexistent,93.918,0
24,services,single,high.school,no,yes,no,telephone,jun,mon,920,2,nonexistent,94.465,0
39,technician,single,high.school,no,no,no,cellular,aug,mon,177,3,nonexistent,93.444,0
42,management,married,basic.6y,no,yes,yes,cellular,nov,fri,81,6,failure,93.2,0
35,technician,single,university.degree,no,no,yes,cellular,aug,wed,174,1,nonexistent,93.444,0
57,retired,single,high.school,no,no,no,telephone,may,mon,53,1,nonexistent,93.994,0
29,services,married,unknown,no,yes,yes,cellular,jul,wed,268,2,nonexistent,93.918,0
35,admin.,single,university.degree,no,yes,no,cellular,aug,fri,176,4,nonexistent,93.444,0
37,blue-collar,married,basic.6y,no,yes,no,cellular,apr,mon,724,2,nonexistent,93.075,0
,technician,single,high.school,no,yes,no,telephone,,wed,457,1,nonexistent,94.465,0
36,services,married,high.school,unknown,no,no,cellular,may,fri,89,1,nonexistent,92.893,0
41,blue-collar,single,basic.6y,unknown,no,no,cellular,jul,wed,92,1,nonexistent,93.918,0
47,blue-collar,married,basic.9y,no,yes,no,cellular,aug,mon,110,3,nonexistent,93.444,0
47,blue-collar,married,basic.4y,no,yes,no,cellular,aug,mon,729,4,nonexistent,93.444,0
44,blue-collar,married,basic.9y,unknown,yes,no,cellular,may,mon,144,2,failure,92.893,0
29,services,married,high.school,no,yes,no,telephone,may,mon,87,6,failure,92.893,0
58,management,married,university.degree,no,yes,yes,cellular,may,fri,256,1,nonexistent,92.893,0
36,blue-collar,married,basic.4y,no,yes,no,cellular,nov,mon,,1,nonexistent,93.2,0
30,admin.,single,university.degree,unknown,yes,no,telephone,jul,mon,256,2,nonexistent,93.918,0
46,admin.,single,,no,unknown,unknown,telephone,may,wed,74,1,nonexistent,93.994,0
30,management,married,university.degree,no,unknown,unknown,cellular,jul,wed,173,2,nonexistent,93.918,0
30,admin.,divorced,high.school,no,no,no,telephone,jun,fri,13,10,nonexistent,94.465,0
40,admin.,divorced,university.degree,no,yes,no,telephone,may,tue,380,1,nonexistent,93.994,0
27,blue-collar,single,basic.6y,no,yes,yes,telephone,jun,wed,444,,nonexistent,94.465,0
50,management,single,university.degree,no,no,no,cellular,jul,thu,192,1,nonexistent,93.918,0
45,blue-collar,married,basic.6y,unknown,no,no,cellular,jul,fri,636,2,nonexistent,93.918,0
52,housemaid,married,basic.4y,unknown,no,no,cellular,aug,mon,149,3,nonexistent,93.444,0
35,blue-collar,married,high.school,no,yes,yes,telephone,may,mon,83,1,nonexistent,93.994,0
41,blue-collar,married,basic.9y,unknown,no,yes,cellular,apr,fri,251,1,failure,93.075,0
41,admin.,married,university.degree,unknown,yes,no,cellular,aug,thu,15,9,nonexistent,93.444,0
45,admin.,married,university.degree,no,no,no,cellular,jul,wed,194,1,success,92.469,0
30,services,single,high.school,unknown,yes,no,cellular,may,wed,70,3,nonexistent,92.893,0
62,retired,divorced,university.degree,no,yes,no,telephone,oct,wed,129,3,nonexistent,92.431,0
34,blue-collar,single,high.school,no,no,no,cellular,jul,wed,118,2,nonexistent,93.918,0
27,blue-collar,single,basic.6y,no,no,no,telephone,may,mon,350,1,nonexistent,93.994,0
33,blue-collar,married,basic.9y,no,yes,no,cellular,jul,thu,21,14,nonexistent,93.918,0
30,blue-collar,married,basic.9y,no,yes,no,cellular,nov,fri,225,2,nonexistent,93.2,0
75,retired,divorced,basic.9y,no,no,no,cellular,mar,mon,233,1,nonexistent,92.843,0
31,entrepreneur,married,high.school,no,yes,yes,cellular,nov,wed,112,2,nonexistent,93.2,0
34,admin.,single,university.degree,no,no,no,telephone,jul,tue,232,4,nonexistent,93.918,0
29,unemployed,divorced,high.school,no,no,no,cellular,oct,mon,,2,nonexistent,92.431,0
46,unemployed,married,basic.9y,no,unknown,unknown,cellular,jun,tue,96,1,nonexistent,92.963,0
31,blue-collar,married,basic.9y,no,yes,no,cellular,may,fri,122,1,failure,92.893,0
27,technician,single,university.degree,no,yes,no,cellular,jul,mon,258,3,nonexistent,92.469,0
,admin.,single,professional.course,no,no,no,telephone,may,mon,131,1,nonexistent,93.994,0
45,admin.,single,university.degree,no,no,no,cellular,may,fri,582,1,success,92.893,1
31,admin.,single,high.school,no,yes,no,cellular,nov,fri,59,1,nonexistent,93.2,0
25,technician,single,professional.course,no,no,no,telephone,may,thu,22,1,nonexistent,93.994,0
33,blue-collar,single,basic.4y,no,yes,no,cellular,apr,mon,108,2,nonexistent,93.075,0
30,services,single,high.school,no,yes,no,cellular,jul,thu,70,6,nonexistent,93.918,0
29,unemployed,single,basic.4y,no,yes,no,cellular,nov,fri,112,1,success,94.767,0
26,technician,single,high.school,no,yes,no,telephone,may,mon,252,1,nonexistent,93.994,0
32,admin.,single,high.school,no,yes,no,cellular,may,thu,212,6,nonexistent,92.893,0
29,technician,single,high.school,no,yes,no,cellular,aug,mon,87,3,nonexistent,93.444,0
56,retired,married,basic.4y,no,no,no,telephone,jun,tue,394,3,nonexistent,94.465,0
52,management,divorced,university.degree,no,no,yes,telephone,may,tue,116,3,,93.994,0
34,blue-collar,married,basic.6y,unknown,no,no,telephone,jun,mon,61,1,nonexistent,94.465,0
45,blue-collar,married,basic.9y,no,no,no,telephone,may,wed,135,1,nonexistent,93.994,0
57,technician,married,high.school,no,yes,no,cellular,may,mon,758,1,failure,92.893,0
30,admin.,married,university.degree,no,yes,no,cellular,aug,thu,123,1,nonexistent,93.444,0
28,services,divorced,high.school,no,yes,no,telephone,may,wed,225,2,nonexistent,93.994,0
26,technician,married,professional.course,no,yes,no,telephone,jun,mon,181,2,nonexistent,94.465,0
33,management,married,university.degree,no,no,no,cellular,,thu,133,,nonexistent,93.2,0
24,services,single,professional.course,no,yes,no,cellular,jul,wed,,1,nonexistent,93.918,0
33,services,married,high.school,unknown,no,no,telephone,may,wed,227,3,nonexistent,93.994,0
33,management,married,university.degree,no,no,yes,telephone,may,thu,206,1,nonexistent,93.994,0
59,admin.,married,basic.4y,unknown,yes,no,cellular,jul,thu,137,1,nonexistent,93.918,0
60,admin.,single,high.school,no,no,no,telephone,jun,fri,118,1,nonexistent,94.465,0
25,student,single,high.school,no,yes,no,cellular,may,thu,959,3,failure,92.893,1
43,unemployed,single,university.degree,no,no,no,telephone,may,mon,404,4,nonexistent,93.994,0
58,management,married,basic.4y,unknown,no,no,telephone,jun,fri,301,2,nonexistent,94.465,0
47,technician,married,professional.course,no,no,no,cellular,aug,tue,364,1,nonexistent,93.444,0
39,technician,single,professional.course,no,no,no,telephone,may,tue,15,1,nonexistent,92.893,0
59,retired,married,,unknown,no,no,telephone,jun,wed,235,5,nonexistent,94.465,0
33,admin.,married,high.school,no,no,no,telephone,may,fri,283,1,nonexistent,93.994,0
,technician,married,high.school,no,no,no,cellular,jun,fri,157,2,nonexistent,92.963,1
47,blue-collar,married,basic.4y,no,yes,no,telephone,may,fri,352,1,nonexistent,93.994,0
24,admin.,married,professional.course,no,yes,no,cellular,apr,mon,102,6,failure,93.075,0
37,technician,married,professional.course,no,no,no,cellular,apr,fri,181,2,nonexistent,93.075,0
36,admin.,divorced,high.school,no,yes,no,telephone,may,wed,416,2,nonexistent,93.994,0
26,admin.,married,basic.9y,no,no,no,cellular,jul,tue,878,2,nonexistent,93.918,1
59,entrepreneur,married,high.school,no,no,no,telephone,may,wed,145,1,nonexistent,93.994,0
21,student,single,high.school,no,yes,no,cellular,apr,fri,551,1,nonexistent,93.749,1
32,entrepreneur,married,high.school,no,yes,no,cellular,jul,mon,240,1,nonexistent,93.918,0
37,admin.,married,high.school,no,no,yes,cellular,apr,fri,463,1,failure,93.075,0
47,technician,married,professional.course,no,no,no,cellular,jul,thu,223,1,nonexistent,93.918,0
31,blue-collar,single,basic.4y,no,yes,no,cellular,jul,thu,143,1,nonexistent,93.918,0
38,management,married,basic.9y,no,yes,no,cellular,nov,tue,390,3,nonexistent,93.2,0
38,unemployed,single,high.school,no,yes,no,telephone,may,tue,597,3,nonexistent,93.994,0
